DB21/T 2765-2017,节约型公共机构评价标准,辽宁省质量技术监督局,2017-03-23,现行
DB31/ 506-2020,集成电路晶圆制造单位产品能源消耗限额,上海市市场监督管理局,2020-12-01,现行
DB31/ 508-2020,中频感应电炉熔炼铁水能源消耗限额,上海市市场监督管理局,2020-05-01,现行
DB31/ 573-2011,铜精炼单位产品能源消耗限额,上海市质量技术监督局,2012-06-01,废止
DB31/ 574-2011,铝箔单位产品能源消耗限额,上海市质量技术监督局,2012-06-01,作废
DB31/ 574-2020,铝箔单位产品能源消耗限额,上海市市场监督管理局,2020-06-01,现行
DB31/ 589-2020,铝合金建筑型材单位产品能源消耗限额,上海市市场监督管理局,2020-06-01,现行
DB31/ 590-2012,变形铝及铝合金铸造锭、铸轧卷单位产品能源消耗限额,上海市质量技术监督局,2012-12-01,作废
DB31/ 590-2020,变形铝及铝合金铸造锭单位产品能源消耗限额,上海市市场监督管理局,2020-06-01,现行
DB31/ 595-2021,冷库单位产品能源消耗指标,上海市市场监督管理局,2021-10-01,现行
DB31/ 608-2020,塑料薄膜单位产品能源消耗限额,上海市市场监督管理局,2021-02-01,现行
DB31/ 626-2020,涤纶短纤维单位产品能源消耗限额,上海市市场监督管理局,2021-02-01,现行
DB31/ 627-2020,印染布单位产品能源消耗限额,上海市市场监督管理局,2020-12-01,现行
DB31/ 629-2020,钢质热模锻件单位产品能源消耗限额,上海市市场监督管理局,2020-05-01,现行
DB31/ 638-2020,铸钢件单位产品能源消耗限额,上海市市场监督管理局,2020-05-01,现行
DB31/ 640-2012,水源多联式空调（热泵）机组能效限定值及能源效率等级,上海市质量技术监督局,2013-02-01,废止
DB31/ 641-2012,水源高温热泵机组能效限定值及能源效率等级,上海市质量技术监督局,2013-02-01,废止
DB31/ 642-2020,金属热处理加工工序单位产品能源消耗限额,上海市市场监督管理局,2020-05-01,现行
DB31/ 650-2020,非织造布单位产品能源消耗限额,上海市市场监督管理局,2020-05-01,现行
